date,open,close
2022-11-22,396.63,399.9
2022-11-23,399.55,402.42
2022-11-25,401.83,402.33
2022-11-28,399.09,395.91
2022-11-29,396.05,395.23
2022-11-30,395.49,407.68
2022-12-01,408.77,407.38
2022-12-02,402.25,406.91
2022-12-05,403.95,399.59
2022-12-06,399.42,393.83
2022-12-07,392.94,393.16
2022-12-08,395.14,396.24
2022-12-09,394.94,393.28
2022-12-12,394.11,398.95
2022-12-13,410.22,401.97
2022-12-14,401.61,399.4
2022-12-15,394.3,389.63
2022-12-16,385.18,383.27
2022-12-19,383.47,380.02
2022-12-20,379.23,380.54
2022-12-21,383.25,386.23
2022-12-22,383.05,380.72
2022-12-23,379.65,382.91
2022-12-27,382.79,381.4
2022-12-28,381.33,376.66
2022-12-29,379.63,383.44
2022-12-30,380.64,382.43
2023-01-03,384.37,380.82
2023-01-04,383.18,383.76
2023-01-05,381.72,379.38
2023-01-06,382.61,388.08
2023-01-09,390.37,387.86
2023-01-10,387.25,390.58
2023-01-11,392.23,395.52
2023-01-12,396.67,396.96
2023-01-13,393.62,398.5
2023-01-17,398.48,397.77
2023-01-18,399.01,391.49
2023-01-19,389.36,388.64
2023-01-20,390.1,395.88
2023-01-23,396.72,400.63
2023-01-24,398.88,400.2
2023-01-25,395.95,400.35
2023-01-26,403.13,404.75
2023-01-27,403.66,405.68
2023-01-30,402.8,400.59
2023-01-31,401.13,406.48
2023-02-01,405.21,410.8
2023-02-02,414.86,416.78
2023-02-03,411.59,412.35
2023-02-06,409.79,409.83
2023-02-07,408.87,415.19
2023-02-08,413.13,410.65
2023-02-09,414.41,407.09
2023-02-10,405.86,408.04
2023-02-13,408.72,412.83
2023-02-14,411.24,412.64
2023-02-15,410.35,413.98
2023-02-16,408.79,408.28
2023-02-17,406.06,407.26
2023-02-21,403.06,399.09
2023-02-22,399.52,398.54
2023-02-23,401.56,400.66
2023-02-24,395.42,396.38
2023-02-27,399.87,397.73
2023-02-28,397.23,396.26
2023-03-01,395.41,394.74
2023-03-02,392.68,397.81
2023-03-03,399.71,404.19
2023-03-06,405.05,404.47
2023-03-07,404.42,398.27
2023-03-08,398.39,398.92
2023-03-09,399.74,391.56
2023-03-10,390.99,385.91
2023-03-13,381.81,385.36
2023-03-14,390.5,391.73
2023-03-15,385.89,389.28
2023-03-16,386.82,396.11
2023-03-17,393.22,389.99
2023-03-20,390.8,393.74
2023-03-21,397.24,398.91
2023-03-22,398.73,392.11
2023-03-23,395.09,393.17
2023-03-24,391.84,395.75
2023-03-27,398.12,396.49
2023-03-28,395.77,395.6
2023-03-29,399.93,401.35
2023-03-30,404.09,403.7
2023-03-31,404.66,409.39
2023-04-03,408.85,410.95
2023-04-04,411.62,408.67
2023-04-05,407.91,407.6
2023-04-06,406.77,409.19
2023-04-10,406.61,409.61
2023-04-11,410.26,409.72
2023-04-12,411.87,408.05
2023-04-13,409.18,413.47
2023-04-14,412.81,412.46
2023-04-17,412.37,413.94
2023-04-18,415.58,414.21
2023-04-19,412.22,414.14
2023-04-20,411.21,411.88
2023-04-21,412.19,412.2
2023-04-24,411.99,412.63
2023-04-25,410.58,406.08
2023-04-26,406.72,404.36
2023-04-27,407.0,412.41
2023-04-28,411.49,415.93
2023-05-01,415.47,415.51
2023-05-02,414.77,410.84
2023-05-03,411.36,408.02
2023-05-04,406.93,405.13
2023-05-05,408.91,412.63
2023-05-08,412.97,412.74
2023-05-09,411.13,410.93
2023-05-10,413.88,412.85
2023-05-11,411.95,412.13
2023-05-12,413.42,411.59
2023-05-15,412.22,413.01
2023-05-16,411.86,410.25
2023-05-17,412.35,415.23
2023-05-18,414.9,419.23
2023-05-19,420.17,418.62
2023-05-22,418.64,418.79
2023-05-23,417.08,414.09
2023-05-24,412.42,411.09
2023-05-25,414.74,414.65
2023-05-26,415.33,420.02
2023-05-30,422.03,420.18
2023-05-31,418.28,417.85
2023-06-01,418.09,421.82
2023-06-02,424.5,427.92
2023-06-05,428.28,427.1
2023-06-06,426.67,428.03
