date,open,close
2022-03-04,339.84,337.3
2022-03-07,337.29,324.86
2022-03-08,324.05,323.35
2022-03-09,331.75,334.99
2022-03-10,330.82,331.27
2022-03-11,334.32,324.4
2022-03-14,323.13,318.17
2022-03-15,320.88,328.15
2022-03-16,332.17,340.32
2022-03-17,338.37,344.44
2022-03-18,342.74,351.49
2022-03-21,350.2,350.08
2022-03-22,350.59,356.96
2022-03-23,354.01,351.83
2022-03-24,353.8,359.65
2022-03-25,359.59,359.35
2022-03-28,359.34,364.91
2022-03-29,368.9,371.19
2022-03-30,369.28,367.09
2022-03-31,367.24,362.54
2022-04-01,362.81,361.85
2022-04-04,362.71,369.3
2022-04-05,367.81,361.1
2022-04-06,355.65,353.26
2022-04-07,352.24,354.1
2022-04-08,352.32,349.15
2022-04-11,344.81,340.89
2022-04-12,345.76,339.45
2022-04-13,339.8,346.35
2022-04-14,346.44,338.43
2022-04-18,337.35,338.69
2022-04-19,338.03,346.26
2022-04-20,347.09,341.21
2022-04-21,345.19,334.15
2022-04-22,334.31,325.4
2022-04-25,323.73,329.58
2022-04-26,327.47,317.14
2022-04-27,317.24,316.76
2022-04-28,321.85,328.01
2022-04-29,323.7,313.25
2022-05-02,312.83,318.48
2022-05-03,318.5,318.82
2022-05-04,319.31,329.6
2022-05-05,325.17,313.0
2022-05-06,310.95,309.25
2022-05-09,303.48,297.15
2022-05-10,304.51,300.76
2022-05-11,298.44,291.84
2022-05-12,287.45,291.15
2022-05-13,295.72,301.94
2022-05-16,300.15,298.44
2022-05-17,304.45,306.17
2022-05-18,301.54,291.14
2022-05-19,289.29,289.58
2022-05-20,293.13,288.68
2022-05-23,289.75,293.48
2022-05-24,288.13,287.24
2022-05-25,285.71,291.26
2022-05-26,290.44,299.33
2022-05-27,302.54,309.1
2022-05-31,309.07,308.28
2022-06-01,310.47,306.0
2022-06-02,304.85,314.38
2022-06-03,309.03,306.2
2022-06-06,310.75,307.22
2022-06-07,303.81,309.87
2022-06-08,309.05,307.64
2022-06-09,305.91,299.4
2022-06-10,293.65,288.84
2022-06-13,279.75,275.41
2022-06-14,277.66,275.91
2022-06-15,279.42,282.8
2022-06-16,275.59,271.39
2022-06-17,272.18,274.69
2022-06-21,278.75,281.08
2022-06-22,278.52,280.67
2022-06-23,283.21,284.85
2022-06-24,287.74,294.61
2022-06-27,296.0,292.45
2022-06-28,293.0,283.54
2022-06-29,283.4,283.8
2022-06-30,280.75,280.28
2022-07-01,278.95,282.13
2022-07-05,278.31,286.96
2022-07-06,287.35,288.8
2022-07-07,289.63,294.98
2022-07-08,292.08,295.35
2022-07-11,292.88,289.04
2022-07-12,290.32,286.24
2022-07-13,280.6,285.65
2022-07-14,282.99,286.67
2022-07-15,289.73,291.87
2022-07-18,294.72,289.4
2022-07-19,293.11,298.3
2022-07-20,298.73,303.03
2022-07-21,303.5,307.38
2022-07-22,306.43,301.99
2022-07-25,302.02,300.27
2022-07-26,298.53,294.37
2022-07-27,299.04,306.81
2022-07-28,306.59,309.81
2022-07-29,311.39,315.46
2022-08-01,313.65,315.27
2022-08-02,312.92,314.33
2022-08-03,316.05,322.89
2022-08-04,322.97,324.4
2022-08-05,319.19,321.75
2022-08-08,322.69,320.71
2022-08-09,318.77,317.08
2022-08-10,324.59,325.93
2022-08-11,328.31,324.08
2022-08-12,326.18,330.39
2022-08-15,329.42,333.06
2022-08-16,332.06,332.28
2022-08-17,329.07,328.49
2022-08-18,328.44,329.28
2022-08-19,326.17,322.86
2022-08-22,318.5,314.36
2022-08-23,314.12,314.1
2022-08-24,313.61,315.01
2022-08-25,316.83,320.58
2022-08-26,320.28,307.44
2022-08-29,304.62,304.41
2022-08-30,306.1,301.02
2022-08-31,303.99,299.27
2022-09-01,296.72,299.4
2022-09-02,302.34,295.17
2022-09-06,295.66,293.05
2022-09-07,293.54,298.97
2022-09-08,296.85,300.52
2022-09-09,302.83,307.09
2022-09-12,308.5,310.74
2022-09-13,301.8,293.7
2022-09-14,294.87,296.03
2022-09-15,294.07,291.1
2022-09-16,287.72,289.32
2022-09-19,286.1,291.05
2022-09-20,288.49,288.73
2022-09-21,289.59,283.56
2022-09-22,282.0,280.07
2022-09-23,277.55,275.51
2022-09-26,275.03,274.37
2022-09-27,277.81,274.48
2022-09-28,274.46,279.94
2022-09-29,275.86,271.87
2022-09-30,271.03,267.26
2022-10-03,269.07,273.53
2022-10-04,278.99,282.13
2022-10-05,278.28,281.98
2022-10-06,280.96,279.76
2022-10-07,275.02,269.1
2022-10-10,269.3,266.41
2022-10-11,264.7,262.75
2022-10-12,263.4,262.66
2022-10-13,255.16,268.82
2022-10-14,271.2,260.74
2022-10-17,266.84,269.35
2022-10-18,276.53,271.48
2022-10-19,269.93,270.49
2022-10-20,269.58,269.11
2022-10-21,267.98,275.42
2022-10-24,275.69,278.45
2022-10-25,279.41,284.21
2022-10-26,278.46,277.93
2022-10-27,276.79,272.87
2022-10-28,272.23,281.22
2022-10-31,278.92,277.95
2022-11-01,281.5,275.11
2022-11-02,275.08,265.68
